C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN109247_c0_g1_i1	Pele_DN12783_c0_g1_i7	Pele_DN15156_c0_g1_i2	Pele_DN11896_c0_g2_i3	Pele_DN10906_c0_g1_i13	Pele_DN10895_c1_g1_i11	Pele_DN11607_c0_g1_i21	Pele_DN2944_c1_g1_i11
Pele_DN1093_c0_g1_i1	Pele_DN12970_c1_g1_i19	Pele_DN1517_c0_g1_i12	Pele_DN11908_c0_g1_i14	Pele_DN1090_c0_g1_i18	Pele_DN10938_c0_g1_i1	Pele_DN11607_c0_g1_i5	Pele_DN3062_c0_g1_i8
Pele_DN10942_c0_g2_i6	Pele_DN13064_c0_g2_i5	Pele_DN15206_c1_g2_i4	Pele_DN11930_c0_g1_i6	Pele_DN1092_c1_g1_i5	Pele_DN10960_c0_g1_i8	Pele_DN11652_c0_g1_i10	Pele_DN3211_c0_g1_i17
Pele_DN10942_c1_g1_i1	Pele_DN13107_c0_g1_i10	Pele_DN15218_c1_g1_i23	Pele_DN1193_c1_g1_i5	Pele_DN10938_c0_g1_i14	Pele_DN10985_c0_g1_i6	Pele_DN11685_c0_g3_i1	Pele_DN3272_c0_g1_i2
Pele_DN10946_c0_g1_i2	Pele_DN13123_c0_g1_i1	Pele_DN15246_c4_g2_i1	Pele_DN11956_c0_g1_i2	Pele_DN10938_c1_g1_i7	Pele_DN10995_c0_g1_i7	Pele_DN11709_c0_g1_i9	Pele_DN3388_c0_g1_i20
Pele_DN109607_c0_g1_i1	Pele_DN13134_c0_g1_i1	Pele_DN15345_c0_g1_i6	Pele_DN1196_c0_g1_i16	Pele_DN10950_c1_g1_i1	Pele_DN1100_c0_g1_i12	Pele_DN11718_c0_g1_i50	Pele_DN34168_c0_g1_i10
Pele_DN109975_c0_g1_i1	Pele_DN132018_c0_g1_i5	Pele_DN15423_c0_g1_i5	Pele_DN11991_c0_g1_i8	Pele_DN10963_c0_g1_i34	Pele_DN1100_c0_g1_i19	Pele_DN11730_c0_g1_i17	Pele_DN355_c1_g1_i2
Pele_DN10999_c0_g1_i1	Pele_DN1335_c0_g1_i31	Pele_DN1551_c3_g1_i5	Pele_DN12023_c0_g1_i17	Pele_DN10975_c0_g2_i5	Pele_DN110128_c0_g1_i1	Pele_DN1178_c5_g1_i2	Pele_DN3700_c0_g1_i6
Pele_DN10999_c0_g1_i10	Pele_DN1335_c0_g1_i43	Pele_DN15542_c0_g1_i2	Pele_DN1204_c0_g1_i1	Pele_DN1099_c4_g1_i1	Pele_DN11021_c4_g1_i6	Pele_DN11853_c1_g1_i8	Pele_DN3757_c0_g2_i4
Pele_DN10999_c0_g1_i15	Pele_DN13370_c0_g1_i11	Pele_DN15659_c0_g1_i3	Pele_DN1204_c0_g2_i8	Pele_DN11009_c0_g1_i2	Pele_DN11044_c0_g2_i3	Pele_DN11908_c0_g1_i6	Pele_DN37954_c0_g1_i2
Pele_DN1099_c1_g1_i19	Pele_DN13418_c4_g4_i2	Pele_DN15777_c0_g3_i2	Pele_DN1208_c1_g1_i2	Pele_DN11081_c0_g1_i11	Pele_DN11082_c1_g1_i3	Pele_DN11988_c0_g2_i45	Pele_DN3867_c2_g1_i4
Pele_DN109_c0_g1_i20	Pele_DN13505_c0_g1_i3	Pele_DN15920_c1_g1_i8	Pele_DN12091_c1_g2_i3	Pele_DN1111_c2_g1_i18	Pele_DN11085_c1_g1_i4	Pele_DN11992_c0_g1_i13	Pele_DN3929_c0_g1_i17
Pele_DN110294_c0_g1_i1	Pele_DN13658_c0_g1_i3	Pele_DN1593_c0_g1_i17	Pele_DN12106_c1_g1_i8	Pele_DN11121_c2_g1_i4	Pele_DN11097_c1_g1_i9	Pele_DN12003_c0_g1_i18	Pele_DN3984_c0_g1_i10
Pele_DN11029_c0_g1_i1	Pele_DN13665_c0_g2_i2	Pele_DN15979_c0_g1_i6	Pele_DN12352_c0_g1_i5	Pele_DN1113_c0_g1_i35	Pele_DN1109_c1_g1_i1	Pele_DN12012_c0_g1_i3	Pele_DN4139_c0_g1_i7
Pele_DN11031_c0_g1_i3	Pele_DN13718_c1_g1_i5	Pele_DN15980_c0_g1_i1	Pele_DN12383_c0_g1_i6	Pele_DN1113_c0_g1_i53	Pele_DN1111_c6_g1_i12	Pele_DN12027_c0_g1_i1	Pele_DN4172_c0_g1_i11
Pele_DN110675_c0_g1_i1	Pele_DN13739_c0_g1_i33	Pele_DN16059_c0_g2_i1	Pele_DN1238_c0_g1_i17	Pele_DN11141_c0_g1_i11	Pele_DN1113_c0_g1_i32	Pele_DN1202_c2_g1_i14	Pele_DN422_c0_g2_i15
Pele_DN11076_c0_g1_i21	Pele_DN1378_c0_g1_i62	Pele_DN163206_c0_g1_i1	Pele_DN12392_c0_g1_i14	Pele_DN11162_c0_g2_i5	Pele_DN11140_c0_g1_i11	Pele_DN12040_c2_g1_i5	Pele_DN4416_c0_g1_i3
Pele_DN11122_c0_g1_i13	Pele_DN13829_c0_g1_i13	Pele_DN1634_c0_g1_i18	Pele_DN12437_c0_g1_i3	Pele_DN11168_c0_g2_i4	Pele_DN11140_c0_g1_i9	Pele_DN120594_c0_g3_i2	Pele_DN4439_c0_g2_i4
Pele_DN111238_c0_g1_i6	Pele_DN1382_c1_g1_i8	Pele_DN164_c0_g1_i6	Pele_DN12460_c0_g1_i23	Pele_DN1117_c0_g2_i5	Pele_DN111626_c0_g1_i2	Pele_DN12081_c0_g1_i4	Pele_DN4474_c0_g1_i2
Pele_DN11125_c0_g1_i4	Pele_DN13852_c0_g1_i11	Pele_DN165504_c0_g1_i1	Pele_DN12474_c0_g1_i1	Pele_DN11198_c1_g1_i3	Pele_DN1117_c0_g1_i10	Pele_DN12163_c0_g1_i12	Pele_DN4580_c0_g1_i10
